date,trend,open,close,high,low,volume,onedaychgnet,twochgnet,twohmovavg,fiftydaymovavg,onehmovavg,twentydmovavg,thirtydaymovavg,tendaymoveavg,fivedaymovavg,sixtydaymovavg,fortydaymovavg,onehtwentymovavg,volatilitytenday,twohvolatility,bac,bmo,rbc,td,sptsx,spx,sh,nikkei,hs,oil,brasil,usdcad,usdcny,usdjpy
01/01/1996,1,7.5,7.4688,7.5313,7.4375,1815152,-0.03125,-0.0938,7.1883,7.3263,7.2678,7.4422,7.4292,7.4375,7.5,7.326,7.4148,7.256,15.237,15.259,17.4063,15.5,7.7813,6,4713.54,615.93,555.29,19868.15,10073.39,19.55,4299,1.3605,8.318,103.45
01/02/1996,1,7.4063,7.5625,7.625,7.4063,1761792,0.09375,0.0625,7.1919,7.3338,7.2716,7.4578,7.4323,7.4563,7.5188,7.3297,7.4219,7.257,15.86,15.322,17.3438,15.875,7.9063,6.1563,4767.82,620.73,537.87,19868.15,10204.87,19.81,4390.05,1.3548,8.318,103.95
01/03/1996,1,7.625,7.625,7.6875,7.5938,2466124,0.0625,0.1563,7.1956,7.3456,7.2763,7.4703,7.4365,7.4844,7.5438,7.3344,7.4289,7.2583,14.285,15.347,17.1875,15.875,7.9688,6.1875,4819.51,621.32,542.42,19868.15,10397.44,19.89,4681.48,1.3538,8.3191,104.86
01/04/1996,1,7.625,7.6875,7.7188,7.625,3643400,0.0625,0.125,7.1997,7.3631,7.2813,7.4766,7.4427,7.525,7.5688,7.3406,7.4375,7.2604,10.798,15.361,16.7813,16,8.0313,6.1875,4806.75,617.7,558.76,20618,10573.9,19.91,4684.06,1.3558,8.3203,105.17
01/05/1996,1,7.6563,7.6875,7.6875,7.5938,2790556,0,0.0625,7.2038,7.3788,7.2866,7.4859,7.45,7.55,7.6063,7.3458,7.4469,7.263,10.798,15.354,16.4375,15.9375,8.0313,6.1563,4839.74,616.71,536.37,20669.03,10529.9,20.26,4694.34,1.3585,8.3204,105.42
01/06/1996,1,7.6563,7.6875,7.6875,7.5938,2790556,0,0.0625,7.2038,7.3788,7.2866,7.4859,7.45,7.55,7.6063,7.3458,7.4469,7.263,10.798,15.354,16.4375,15.9375,8.0313,6.1563,4839.74,616.71,536.37,20669.03,10529.9,20.26,4694.34,1.3585,8.3204,105.42
01/07/1996,0,7.6563,7.6875,7.6875,7.5938,2790556,0,0.0625,7.2038,7.3788,7.2866,7.4859,7.45,7.55,7.6063,7.3458,7.4469,7.263,10.798,15.354,16.4375,15.9375,8.0313,6.1563,4839.74,616.71,536.37,20669.03,10529.9,20.26,4694.34,1.3585,8.3204,105.42
01/08/1996,0,7.6875,7.6875,7.6875,7.625,2151680,0,0,7.208,7.3969,7.2916,7.4938,7.4583,7.575,7.65,7.3521,7.4555,7.2664,10.966,15.314,16.6563,15.875,8.0313,6.0625,4855.36,618.46,539.17,20563.58,10466.67,20.26,4741.01,1.364,8.3215,105.22
01/09/1996,1,7.6875,7.625,7.6875,7.5938,2053692,-0.0625,-0.0625,7.2117,7.4144,7.2959,7.4984,7.4646,7.5906,7.6625,7.3578,7.4625,7.2701,12.509,15.335,16.5313,15.75,7.9063,6,4812.45,609.45,558.62,20652.08,10427.2,19.95,4653.88,1.3625,8.3214,104.39
01/10/1996,0,7.5938,7.5625,7.625,7.5,2969556,-0.0625,-0.125,7.2155,7.4281,7.2994,7.5016,7.4698,7.5969,7.65,7.3625,7.4672,7.2732,12.883,15.336,16.3125,15.625,7.7813,5.9063,4781.05,598.48,547.62,20612.32,10304.63,19.67,4622.19,1.3652,8.3208,104.83
